FireYear,Plot,SiteType,Day,Month,Round,Transect,PlantCommonName,PlantLatinName,FlowerCount,PlantCount,OutsideTransectCount
2009,S2,Fire,20,7,2,South,Small flowered penstemon,Penstemon procerus,295,47,2
2009,S2,Fire,20,7,2,East,Fireweed,Chamaenerion angustifolium,3,3,2
2009,S2,Fire,20,7,2,East,Orange hawkweed,Agoseris aurantica,12,11,2
2009,S2,Fire,20,7,2,East,Slender hawkweed,Hieracium gracile,3,1,2
2009,S2,Fire,20,7,2,East,Yarrow,Achillea millefolium,854,34,2
2009,S2,Fire,20,7,2,East,white hawkweed,Hieracium albiflorum,6,3,2
2009,F2,Forest,20,7,2,East,white mountain heather,Cassiope mertensiana,66,5,3
2009,F2,Forest,20,7,2,East,pink mountain heather,Phyllodoce empetriformis,8,1,3
2009,F2,Forest,20,7,2,East,Sitka valerian,Valeriana sitchensis,68,4,3
2009,F2,Forest,20,7,2,East,arctic lupin,Lupinus arcticus ,70,5,3
2009,F2,Forest,20,7,2,South,arctic lupin,Lupinus arcticus ,40,2,3
2009,F2,Forest,20,7,2,South,Sitka valerian,Valeriana sitchensis,34,1,3
2009,F2,Forest,20,7,2,North,white mountain heather,Cassiope mertensiana,628,376,3
2009,F2,Forest,20,7,2,North,pink mountain heather,Phyllodoce empetriformis,66,20,3
2009,F2,Forest,20,7,2,North,arctic lupin,Lupinus arcticus ,77,10,3
2009,F2,Forest,20,7,2,North,Arnica,Arnica sp.,23,23,3
2009,F2,Forest,20,7,2,North,Sitka valerian,Valeriana sitchensis,300,17,3
2009,F2,Forest,20,7,2,West,pink mountain heather,Phyllodoce empetriformis,24,5,3
2009,F2,Forest,20,7,2,West,white mountain heather,Cassiope mertensiana,238,26,3
2009,F2,Forest,20,7,2,West,Arnica,Arnica sp.,4,4,3
2009,F2,Forest,20,7,2,West,Slender hawkweed,Hieracium gracile,1,1,3
2009,F2,Forest,20,7,2,West,arctic lupin,Lupinus arcticus ,27,2,3
2009,F2,Forest,20,7,2,West,Segmented luetkea,Luetkea pectinata,40,8,3
2009,F2,Forest,20,7,2,West,Small flowered penstemon,Penstemon procerus,8,1,3
2009,F2,Forest,20,7,2,West,Sitka valerian,Valeriana sitchensis,37,2,3
2010,F2,Forest,21,7,2,East,Bracted lousewort,Pedicularis bracteosa,5,1,0
2010,F2,Forest,21,7,2,East,Subalpine daisy,Erigeron peregrinus,4,1,0
2010,F2,Forest,21,7,2,East,Arnica,Arnica sp.,9,9,0
2010,F2,Forest,21,7,2,East,Bunchberry,Cornus canadensis,67,67,0
2010,F2,Forest,21,7,2,East,Sitka valerian,Valeriana sitchensis,141,9,0
2010,F2,Forest,21,7,2,South,arctic lupin,Lupinus arcticus ,231,34,0
2010,F2,Forest,21,7,2,South,Subalpine daisy,Erigeron peregrinus,17,15,0
2010,F2,Forest,21,7,2,South,Bunchberry,Cornus canadensis,95,95,0
2010,F2,Forest,21,7,2,South,Bracted lousewort,Pedicularis bracteosa,138,19,0
2010,F2,Forest,21,7,2,South,sitka burnet,Sanguisorba sitchensis,3,3,0
2010,F2,Forest,21,7,2,South,Fireweed,Chamaenerion angustifolium,3,1,0
2010,F2,Forest,21,7,2,South,Sitka valerian,Valeriana sitchensis,325,17,0
2010,F2,Forest,21,7,2,South,Arnica,Arnica sp.,1,1,0
2010,F2,Forest,21,7,2,West,arctic lupin,Lupinus arcticus ,62,8,0
2010,F2,Forest,21,7,2,West,Yarrow,Achillea millefolium,66,5,0
2010,F2,Forest,21,7,2,West,Subalpine daisy,Erigeron peregrinus,4,2,0
2010,F2,Forest,21,7,2,West,Twinflower,Linnea borealis,118,77,0
2010,F2,Forest,21,7,2,West,Bunchberry,Cornus canadensis,85,85,0
2010,F2,Forest,21,7,2,West,arnica,Arnica sp.,1,1,0
2010,F2,Forest,21,7,2,North,Sitka valerian,Valeriana sitchensis,400,18,0
2010,F2,Forest,21,7,2,North,Bunchberry,Cornus canadensis,144,144,0
2010,F2,Forest,21,7,2,North,Slender hawkweed,Hieracium gracile,1,1,0
2010,F2,Forest,21,7,2,North,arctic lupin,Lupinus arcticus ,48,4,0
2010,F2,Forest,21,7,2,North,Subalpine daisy,Erigeron peregrinus,16,13,0
2010,F2,Forest,21,7,2,North,arnica,Arnica sp.,3,3,0
2010,F2,Forest,21,7,2,North,Bracted lousewort,Pedicularis bracteosa,357,45,0
2010,F2,Forest,21,7,2,North,Arrowleaf Senecio,Senecio triangularis,2,1,0
2010,F2,Forest,21,7,2,North,Small flowered penstemon,Penstemon procerus,16,4,0
